char_idx,char,top_left_x,top_left_y,width,height,char_idx_in_line,line_idx,page,word_idx,word_idx_in_line,word,question_image_version
0,W,85.0,92.0,14.4,33,0,0,question_1111,0,0,What,question_images_version_1
1,h,99.4,92.0,14.4,33,1,0,question_1111,0,0,What,question_images_version_1
2,a,113.80000000000001,92.0,14.4,33,2,0,question_1111,0,0,What,question_images_version_1
3,t,128.20000000000002,92.0,14.4,33,3,0,question_1111,0,0,What,question_images_version_1
4, ,142.60000000000002,92.0,14.4,33,4,0,question_1111,0,0,,question_images_version_1
5,i,157.00000000000003,92.0,14.4,33,5,0,question_1111,1,1,is,question_images_version_1
6,s,171.40000000000003,92.0,14.4,33,6,0,question_1111,1,1,is,question_images_version_1
7, ,185.80000000000004,92.0,14.4,33,7,0,question_1111,1,1,,question_images_version_1
8,p,200.20000000000005,92.0,14.4,33,8,0,question_1111,2,2,pymovements?,question_images_version_1
9,y,214.60000000000005,92.0,14.4,33,9,0,question_1111,2,2,pymovements?,question_images_version_1
10,m,229.00000000000006,92.0,14.4,33,10,0,question_1111,2,2,pymovements?,question_images_version_1
11,o,243.40000000000006,92.0,14.4,33,11,0,question_1111,2,2,pymovements?,question_images_version_1
12,v,257.80000000000007,92.0,14.4,33,12,0,question_1111,2,2,pymovements?,question_images_version_1
13,e,272.20000000000005,92.0,14.4,33,13,0,question_1111,2,2,pymovements?,question_images_version_1
14,m,286.6,92.0,14.4,33,14,0,question_1111,2,2,pymovements?,question_images_version_1
15,e,301.0,92.0,14.4,33,15,0,question_1111,2,2,pymovements?,question_images_version_1
16,n,315.4,92.0,14.4,33,16,0,question_1111,2,2,pymovements?,question_images_version_1
17,t,329.79999999999995,92.0,14.4,33,17,0,question_1111,2,2,pymovements?,question_images_version_1
18,s,344.19999999999993,92.0,14.4,33,18,0,question_1111,2,2,pymovements?,question_images_version_1
19,?,358.5999999999999,92.0,14.4,33,19,0,question_1111,2,2,pymovements?,question_images_version_1
0,A,85.0,456.28000000000003,14.4375,33,0,0,toy_text_1_1_question_1111_target,0,0,A,question_images_version_1
1, ,99.4375,456.28000000000003,14.4375,33,1,0,toy_text_1_1_question_1111_target,0,0,,question_images_version_1
2,P,113.875,456.28000000000003,14.4375,33,2,0,toy_text_1_1_question_1111_target,1,1,Python,question_images_version_1
3,y,128.3125,456.28000000000003,14.4375,33,3,0,toy_text_1_1_question_1111_target,1,1,Python,question_images_version_1
4,t,142.75,456.28000000000003,14.4375,33,4,0,toy_text_1_1_question_1111_target,1,1,Python,question_images_version_1
5,h,157.1875,456.28000000000003,14.4375,33,5,0,toy_text_1_1_question_1111_target,1,1,Python,question_images_version_1
6,o,171.625,456.28000000000003,14.4375,33,6,0,toy_text_1_1_question_1111_target,1,1,Python,question_images_version_1
7,n,186.0625,456.28000000000003,14.4375,33,7,0,toy_text_1_1_question_1111_target,1,1,Python,question_images_version_1
8, ,200.5,456.28000000000003,14.4375,33,8,0,toy_text_1_1_question_1111_target,1,1,,question_images_version_1
9,p,214.9375,456.28000000000003,14.4375,33,9,0,toy_text_1_1_question_1111_target,2,2,package,question_images_version_1
10,a,229.375,456.28000000000003,14.4375,33,10,0,toy_text_1_1_question_1111_target,2,2,package,question_images_version_1
11,c,243.8125,456.28000000000003,14.4375,33,11,0,toy_text_1_1_question_1111_target,2,2,package,question_images_version_1
12,k,258.25,456.28000000000003,14.4375,33,12,0,toy_text_1_1_question_1111_target,2,2,package,question_images_version_1
13,a,272.6875,456.28000000000003,14.4375,33,13,0,toy_text_1_1_question_1111_target,2,2,package,question_images_version_1
14,g,287.125,456.28000000000003,14.4375,33,14,0,toy_text_1_1_question_1111_target,2,2,package,question_images_version_1
15,e,301.5625,456.28000000000003,14.4375,33,15,0,toy_text_1_1_question_1111_target,2,2,package,question_images_version_1
0,A,202.79999999999998,259.25,14.411764705882353,33,0,0,toy_text_1_1_question_1111_distractor_a,0,0,A,question_images_version_1
1, ,217.21176470588233,259.25,14.411764705882353,33,1,0,toy_text_1_1_question_1111_distractor_a,0,0,,question_images_version_1
2,p,231.62352941176468,259.25,14.411764705882353,33,2,0,toy_text_1_1_question_1111_distractor_a,1,1,plotting,question_images_version_1
3,l,246.03529411764703,259.25,14.411764705882353,33,3,0,toy_text_1_1_question_1111_distractor_a,1,1,plotting,question_images_version_1
4,o,260.4470588235294,259.25,14.411764705882353,33,4,0,toy_text_1_1_question_1111_distractor_a,1,1,plotting,question_images_version_1
5,t,274.8588235294118,259.25,14.411764705882353,33,5,0,toy_text_1_1_question_1111_distractor_a,1,1,plotting,question_images_version_1
6,t,289.27058823529416,259.25,14.411764705882353,33,6,0,toy_text_1_1_question_1111_distractor_a,1,1,plotting,question_images_version_1
7,i,303.68235294117653,259.25,14.411764705882353,33,7,0,toy_text_1_1_question_1111_distractor_a,1,1,plotting,question_images_version_1
8,n,318.0941176470589,259.25,14.411764705882353,33,8,0,toy_text_1_1_question_1111_distractor_a,1,1,plotting,question_images_version_1
9,g,332.5058823529413,259.25,14.411764705882353,33,9,0,toy_text_1_1_question_1111_distractor_a,1,1,plotting,question_images_version_1
10, ,346.91764705882366,259.25,14.411764705882353,33,10,0,toy_text_1_1_question_1111_distractor_a,1,1,,question_images_version_1
11,m,361.32941176470604,259.25,14.411764705882353,33,11,0,toy_text_1_1_question_1111_distractor_a,2,2,method,question_images_version_1
12,e,375.7411764705884,259.25,14.411764705882353,33,12,0,toy_text_1_1_question_1111_distractor_a,2,2,method,question_images_version_1
13,t,390.1529411764708,259.25,14.411764705882353,33,13,0,toy_text_1_1_question_1111_distractor_a,2,2,method,question_images_version_1
14,h,404.56470588235317,259.25,14.411764705882353,33,14,0,toy_text_1_1_question_1111_distractor_a,2,2,method,question_images_version_1
15,o,418.97647058823554,259.25,14.411764705882353,33,15,0,toy_text_1_1_question_1111_distractor_a,2,2,method,question_images_version_1
